ID,Name,Full Name,Type 1,Type 2,Fast Move,Fast Move Type,Power,Turns,Energy,Charge Move,Charge Move Type,Power,Energy,Charge Time,Fast DPS,Charge DPS,Total DPS
1263,Dewgong,Dewgong,Water,Ice,Iron Tail,Steel,9,3,6,Icy Wind,Ice,60,45,12,4,3.33,7.33
1264,Dewgong,Dewgong,Water,Ice,Iron Tail,Steel,9,3,6,Aurora Beam,Ice,80,60,15,4,3.53,7.53
1265,Grimer,Grimer,Poison,Ice,Poison Jab,Poison,7,2,7,Sludge,Poison,50,40,6,6,6.5,12.5
1266,Grimer,Grimer,Poison,Ice,Poison Jab,Poison,7,2,7,Sludge Bomb,Poison,80,50,8,6,7.62,13.62
1267,Grimer,Grimer,Poison,Ice,Poison Jab,Poison,7,2,7,Mud Bomb,Ground,55,40,6,6,5.83,11.83
1268,Grimer,Grimer,Poison,Ice,Poison Jab,Poison,7,2,7,Frustration,Normal,10,70,10,6,0.7,6.7
1269,Grimer,Grimer,Poison,Ice,Poison Jab,Poison,7,2,7,Return,Normal,130,70,10,6,8.3,14.3
1270,Grimer,Grimer,Poison,Ice,Mud-Slap,Poison,7,2,7,Sludge,Poison,50,40,6,6,6.5,12.5
1271,Grimer,Grimer,Poison,Ice,Mud-Slap,Poison,7,2,7,Sludge Bomb,Poison,80,50,8,6,7.62,13.62
1272,Grimer,Grimer,Poison,Ice,Mud-Slap,Poison,7,2,7,Mud Bomb,Ground,55,40,6,6,5.83,11.83
1273,Grimer,Grimer,Poison,Ice,Mud-Slap,Poison,7,2,7,Frustration,Normal,10,70,10,6,0.7,6.7
1274,Grimer,Grimer,Poison,Ice,Mud-Slap,Poison,7,2,7,Return,Normal,130,70,10,6,8.3,14.3
1275,Grimer,Grimer (Alolan Grimer),Poison,Dark,Bite,Dark,4,1,2,Sludge Bomb,Poison,80,50,12.5,6,4.88,10.88
1276,Grimer,Grimer (Alolan Grimer),Poison,Dark,Bite,Dark,4,1,2,Gunk Shot,Poison,130,75,19,6,5.21,11.21
1277,Grimer,Grimer (Alolan Grimer),Poison,Dark,Bite,Dark,4,1,2,Crunch,Dark,70,45,11.5,6,3.91,9.91
1278,Grimer,Grimer (Alolan Grimer),Poison,Dark,Poison Jab,Poison,7,2,7,Sludge Bomb,Poison,80,50,8,6,7.62,13.62
1279,Grimer,Grimer (Alolan Grimer),Poison,Dark,Poison Jab,Poison,7,2,7,Gunk Shot,Poison,130,75,11,6,9,15
1280,Grimer,Grimer (Alolan Grimer),Poison,Dark,Poison Jab,Poison,7,2,7,Crunch,Dark,70,45,7,6,6.43,12.43
1281,Muk,Muk,Poison,Dark,Lick,Ghost,3,1,3,Dark Pulse,Dark,80,50,8.5,6,7.29,13.29
1282,Muk,Muk,Poison,Dark,Lick,Ghost,3,1,3,Thunder Punch,Electric,55,40,7,6,6.14,12.14
1283,Muk,Muk,Poison,Dark,Lick,Ghost,3,1,3,Sludge Wave,Poison,110,65,11,6,9.27,15.27
1284,Muk,Muk,Poison,Dark,Lick,Ghost,3,1,3,Gunk Shot,Poison,130,75,12.5,6,9.68,15.68
1285,Muk,Muk,Poison,Dark,Lick,Ghost,3,1,3,Acid Spray,Poison,20,45,7.5,6,2.53,8.53
1286,Muk,Muk,Poison,Dark,Lick,Ghost,3,1,3,Frustration,Normal,10,70,12,6,0.67,6.67
1287,Muk,Muk,Poison,Dark,Lick,Ghost,3,1,3,Return,Normal,130,70,12,6,8.42,14.42
1288,Muk,Muk,Poison,Dark,Poison Jab,Poison,7,2,7,Dark Pulse,Dark,80,50,8,7,7.75,14.75
1289,Muk,Muk,Poison,Dark,Poison Jab,Poison,7,2,7,Thunder Punch,Electric,55,40,6,7,7.17,14.17
1290,Muk,Muk,Poison,Dark,Poison Jab,Poison,7,2,7,Sludge Wave,Poison,110,65,10,7,10.2,17.2
1291,Muk,Muk,Poison,Dark,Poison Jab,Poison,7,2,7,Gunk Shot,Poison,130,75,11,7,11,18
1292,Muk,Muk,Poison,Dark,Poison Jab,Poison,7,2,7,Acid Spray,Poison,20,45,7,7,2.71,9.71
1293,Muk,Muk,Poison,Dark,Poison Jab,Poison,7,2,7,Frustration,Normal,10,70,10,7,0.8,7.8
1294,Muk,Muk,Poison,Dark,Poison Jab,Poison,7,2,7,Return,Normal,130,70,10,7,10.1,17.1
1295,Muk,Muk,Poison,Dark,Infestation,Bug,6,3,12,Dark Pulse,Dark,80,50,7.5,3.33,8.27,11.6
1296,Muk,Muk,Poison,Dark,Infestation,Bug,6,3,12,Thunder Punch,Electric,55,40,6,3.33,7.17,10.5
1297,Muk,Muk,Poison,Dark,Infestation,Bug,6,3,12,Sludge Wave,Poison,110,65,9,3.33,11.33,14.66
1298,Muk,Muk,Poison,Dark,Infestation,Bug,6,3,12,Gunk Shot,Poison,130,75,10.5,3.33,11.52,14.85
1299,Muk,Muk,Poison,Dark,Infestation,Bug,6,3,12,Acid Spray,Poison,20,45,6,3.33,3.17,6.5
1300,Muk,Muk,Poison,Dark,Infestation,Bug,6,3,12,Frustration,Normal,10,70,9,3.33,0.89,4.22
1301,Muk,Muk,Poison,Dark,Infestation,Bug,6,3,12,Return,Normal,130,70,9,3.33,11.22,14.55
1302,Muk,Muk (Alolan Muk),Poison,Dark,Bite,Dark,4,1,2,Dark Pulse,Dark,80,50,12.5,8,4.96,12.96
1303,Muk,Muk (Alolan Muk),Poison,Dark,Bite,Dark,4,1,2,Sludge Wave,Poison,110,65,16.5,8,6.18,14.18
1304,Muk,Muk (Alolan Muk),Poison,Dark,Bite,Dark,4,1,2,Gunk Shot,Poison,130,75,19,8,6.37,14.37
1305,Muk,Muk (Alolan Muk),Poison,Dark,Bite,Dark,4,1,2,Acid Spray,Poison,20,45,11.5,8,1.65,9.65
1306,Muk,Muk (Alolan Muk),Poison,Dark,Poison Jab,Poison,7,2,7,Dark Pulse,Dark,80,50,8,7,7.75,14.75
1307,Muk,Muk (Alolan Muk),Poison,Dark,Poison Jab,Poison,7,2,7,Sludge Wave,Poison,110,65,10,7,10.2,17.2
1308,Muk,Muk (Alolan Muk),Poison,Dark,Poison Jab,Poison,7,2,7,Gunk Shot,Poison,130,75,11,7,11,18
1309,Muk,Muk (Alolan Muk),Poison,Dark,Poison Jab,Poison,7,2,7,Acid Spray,Poison,20,45,7,7,2.71,9.71
1310,Muk,Muk (Alolan Muk),Poison,Dark,Snarl,Dark,5,3,13,Dark Pulse,Dark,80,50,6,2.67,10.33,13
1311,Muk,Muk (Alolan Muk),Poison,Dark,Snarl,Dark,5,3,13,Sludge Wave,Poison,110,65,7.5,2.67,13.6,16.27
1312,Muk,Muk (Alolan Muk),Poison,Dark,Snarl,Dark,5,3,13,Gunk Shot,Poison,130,75,9,2.67,13.44,16.11
1313,Muk,Muk (Alolan Muk),Poison,Dark,Snarl,Dark,5,3,13,Acid Spray,Poison,20,45,6,2.67,3.17,5.84
1314,Shellder,Shellder,Water,Dark,Ice Shard,Ice,9,3,10,Bubble Beam,Water,25,40,6,3.33,2.83,6.16
1315,Shellder,Shellder,Water,Dark,Ice Shard,Ice,9,3,10,Water Pulse,Water,70,60,9,3.33,5.22,8.55
1316,Shellder,Shellder,Water,Dark,Ice Shard,Ice,9,3,10,Icy Wind,Ice,60,45,7.5,3.33,4.53,7.86
1317,Shellder,Shellder,Water,Dark,Ice Shard,Ice,9,3,10,Frustration,Normal,10,70,10.5,3.33,0.57,3.9
1318,Shellder,Shellder,Water,Dark,Ice Shard,Ice,9,3,10,Return,Normal,130,70,10.5,3.33,6.86,10.19
1319,Shellder,Shellder,Water,Dark,Tackle,Normal,3,1,2,Bubble Beam,Water,25,40,10,4,1.7,5.7
1320,Shellder,Shellder,Water,Dark,Tackle,Normal,3,1,2,Water Pulse,Water,70,60,15,4,3.13,7.13
1321,Shellder,Shellder,Water,Dark,Tackle,Normal,3,1,2,Icy Wind,Ice,60,45,11.5,4,2.96,6.96
1322,Shellder,Shellder,Water,Dark,Tackle,Normal,3,1,2,Frustration,Normal,10,70,17.5,4,0.34,4.34
1323,Shellder,Shellder,Water,Dark,Tackle,Normal,3,1,2,Return,Normal,130,70,17.5,4,4.11,8.11
1324,Cloyster,Cloyster,Water,Ice,Ice Shard,Ice,9,3,10,Blizzard,Ice,140,75,12,5.33,9.25,14.58
1325,Cloyster,Cloyster,Water,Ice,Ice Shard,Ice,9,3,10,Hydro Pump,Water,130,75,12,5.33,10.25,15.58
1326,Cloyster,Cloyster,Water,Ice,Ice Shard,Ice,9,3,10,Icy Wind,Ice,60,45,7.5,5.33,6.4,11.73
1327,Cloyster,Cloyster,Water,Ice,Ice Shard,Ice,9,3,10,Aurora Beam,Ice,80,60,9,5.33,7,12.33
1328,Cloyster,Cloyster,Water,Ice,Ice Shard,Ice,9,3,10,Avalanche,Ice,90,45,7.5,5.33,9.47,14.8
1329,Cloyster,Cloyster,Water,Ice,Ice Shard,Ice,9,3,10,Frustration,Normal,10,70,10.5,5.33,0.76,6.09
1330,Cloyster,Cloyster,Water,Ice,Ice Shard,Ice,9,3,10,Return,Normal,130,70,10.5,5.33,9.81,15.14
1331,Cloyster,Cloyster,Water,Ice,Frost Breath,Ice,7,2,5,Blizzard,Ice,140,75,15,6,7.4,13.4
1332,Cloyster,Cloyster,Water,Ice,Frost Breath,Ice,7,2,5,Hydro Pump,Water,130,75,15,6,8.2,14.2
1333,Cloyster,Cloyster,Water,Ice,Frost Breath,Ice,7,2,5,Icy Wind,Ice,60,45,9,6,5.33,11.33
1334,Cloyster,Cloyster,Water,Ice,Frost Breath,Ice,7,2,5,Aurora Beam,Ice,80,60,12,6,5.25,11.25
1335,Cloyster,Cloyster,Water,Ice,Frost Breath,Ice,7,2,5,Avalanche,Ice,90,45,9,6,7.89,13.89
1336,Cloyster,Cloyster,Water,Ice,Frost Breath,Ice,7,2,5,Frustration,Normal,10,70,14,6,0.57,6.57
1337,Cloyster,Cloyster,Water,Ice,Frost Breath,Ice,7,2,5,Return,Normal,130,70,14,6,7.36,13.36
1338,Gastly,Gastly,Ghost,Poison,Sucker Punch,Dark,5,2,7,Dark Pulse,Dark,80,50,8,5,8.5,13.5
1339,Gastly,Gastly,Ghost,Poison,Sucker Punch,Dark,5,2,7,Ominous Wind,Ghost,45,45,7,5,6.57,11.57
1340,Gastly,Gastly,Ghost,Poison,Sucker Punch,Dark,5,2,7,Sludge Bomb,Poison,80,50,8,5,8.5,13.5
1341,Gastly,Gastly,Ghost,Poison,Sucker Punch,Dark,5,2,7,Night Shade,Ghost,60,55,8,5,7.75,12.75
1342,Gastly,Gastly,Ghost,Poison,Lick,Ghost,3,1,3,Dark Pulse,Dark,80,50,8.5,8,8,16
1343,Gastly,Gastly,Ghost,Poison,Lick,Ghost,3,1,3,Ominous Wind,Ghost,45,45,7.5,8,6.13,14.13
1344,Gastly,Gastly,Ghost,Poison,Lick,Ghost,3,1,3,Sludge Bomb,Poison,80,50,8.5,8,8,16
1345,Gastly,Gastly,Ghost,Poison,Lick,Ghost,3,1,3,Night Shade,Ghost,60,55,9.5,8,6.53,14.53
1346,Gastly,Gastly,Ghost,Poison,Astonish,Ghost,5,3,9,Dark Pulse,Dark,80,50,9,4,7.56,11.56
1347,Gastly,Gastly,Ghost,Poison,Astonish,Ghost,5,3,9,Ominous Wind,Ghost,45,45,7.5,4,6.13,10.13
1348,Gastly,Gastly,Ghost,Poison,Astonish,Ghost,5,3,9,Sludge Bomb,Poison,80,50,9,4,7.56,11.56
1349,Gastly,Gastly,Ghost,Poison,Astonish,Ghost,5,3,9,Night Shade,Ghost,60,55,10.5,4,5.9,9.9
1350,Haunter,Haunter,Ghost,Poison,Lick,Ghost,3,1,3,Dark Pulse,Dark,80,50,8.5,8,9.53,17.53
1351,Haunter,Haunter,Ghost,Poison,Lick,Ghost,3,1,3,Shadow Punch,Ghost,40,35,6,8,8.17,16.17
1352,Haunter,Haunter,Ghost,Poison,Lick,Ghost,3,1,3,Shadow Ball,Ghost,100,55,9.5,8,12.74,20.74
1353,Haunter,Haunter,Ghost,Poison,Lick,Ghost,3,1,3,Sludge Bomb,Poison,80,50,8.5,8,9.53,17.53
1354,Haunter,Haunter,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Dark Pulse,Dark,80,50,7,8,11.57,19.57
1355,Haunter,Haunter,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Shadow Punch,Ghost,40,35,5,8,9.8,17.8
1356,Haunter,Haunter,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Shadow Ball,Ghost,100,55,7,8,17.29,25.29
1357,Haunter,Haunter,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Sludge Bomb,Poison,80,50,7,8,11.57,19.57
1358,Haunter,Haunter,Ghost,Poison,Astonish,Ghost,5,3,9,Dark Pulse,Dark,80,50,9,4.67,9,13.67
1359,Haunter,Haunter,Ghost,Poison,Astonish,Ghost,5,3,9,Shadow Punch,Ghost,40,35,6,4.67,8.17,12.84
1360,Haunter,Haunter,Ghost,Poison,Astonish,Ghost,5,3,9,Shadow Ball,Ghost,100,55,10.5,4.67,11.52,16.19
1361,Haunter,Haunter,Ghost,Poison,Astonish,Ghost,5,3,9,Sludge Bomb,Poison,80,50,9,4.67,9,13.67
1362,Gengar,Gengar,Ghost,Poison,Sucker Punch,Dark,5,2,7,Dark Pulse,Dark,80,50,8,6,10.25,16.25
1363,Gengar,Gengar,Ghost,Poison,Sucker Punch,Dark,5,2,7,Shadow Punch,Ghost,40,35,5,6,9.8,15.8
1364,Gengar,Gengar,Ghost,Poison,Sucker Punch,Dark,5,2,7,Shadow Ball,Ghost,100,55,8,6,15.25,21.25
1365,Gengar,Gengar,Ghost,Poison,Sucker Punch,Dark,5,2,7,Sludge Bomb,Poison,80,50,8,6,10.25,16.25
1366,Gengar,Gengar,Ghost,Poison,Sucker Punch,Dark,5,2,7,Sludge Wave,Poison,110,65,10,6,11.2,17.2
1367,Gengar,Gengar,Ghost,Poison,Sucker Punch,Dark,5,2,7,Psychic,Psychic,90,55,8,6,11.5,17.5
1368,Gengar,Gengar,Ghost,Poison,Sucker Punch,Dark,5,2,7,Focus Blast,Fighting,150,75,11,6,13.91,19.91
1369,Gengar,Gengar,Ghost,Poison,Lick,Ghost,3,1,3,Dark Pulse,Dark,80,50,8.5,8,9.65,17.65
1370,Gengar,Gengar,Ghost,Poison,Lick,Ghost,3,1,3,Shadow Punch,Ghost,40,35,6,8,8.17,16.17
1371,Gengar,Gengar,Ghost,Poison,Lick,Ghost,3,1,3,Shadow Ball,Ghost,100,55,9.5,8,12.84,20.84
1372,Gengar,Gengar,Ghost,Poison,Lick,Ghost,3,1,3,Sludge Bomb,Poison,80,50,8.5,8,9.65,17.65
1373,Gengar,Gengar,Ghost,Poison,Lick,Ghost,3,1,3,Sludge Wave,Poison,110,65,11,8,10.18,18.18
1374,Gengar,Gengar,Ghost,Poison,Lick,Ghost,3,1,3,Psychic,Psychic,90,55,9.5,8,9.68,17.68
1375,Gengar,Gengar,Ghost,Poison,Lick,Ghost,3,1,3,Focus Blast,Fighting,150,75,12.5,8,12.24,20.24
1376,Gengar,Gengar,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Dark Pulse,Dark,80,50,7,8,11.71,19.71
1377,Gengar,Gengar,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Shadow Punch,Ghost,40,35,5,8,9.8,17.8
1378,Gengar,Gengar,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Shadow Ball,Ghost,100,55,7,8,17.43,25.43
1379,Gengar,Gengar,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Sludge Bomb,Poison,80,50,7,8,11.71,19.71
1380,Gengar,Gengar,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Sludge Wave,Poison,110,65,9,8,12.44,20.44
1381,Gengar,Gengar,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Psychic,Psychic,90,55,7,8,13.14,21.14
1382,Gengar,Gengar,Ghost,Poison,Shadow Claw,Ghost,6,2,8,Focus Blast,Fighting,150,75,10,8,15.3,23.3
1383,Gengar,Gengar,Ghost,Poison,Hex,Ghost,6,3,12,Dark Pulse,Dark,80,50,7.5,5.33,10.93,16.26
1384,Gengar,Gengar,Ghost,Poison,Hex,Ghost,6,3,12,Shadow Punch,Ghost,40,35,4.5,5.33,10.89,16.22
1385,Gengar,Gengar,Ghost,Poison,Hex,Ghost,6,3,12,Shadow Ball,Ghost,100,55,7.5,5.33,16.27,21.6
1386,Gengar,Gengar,Ghost,Poison,Hex,Ghost,6,3,12,Sludge Bomb,Poison,80,50,7.5,5.33,10.93,16.26
1387,Gengar,Gengar,Ghost,Poison,Hex,Ghost,6,3,12,Sludge Wave,Poison,110,65,9,5.33,12.44,17.77
1388,Gengar,Gengar,Ghost,Poison,Hex,Ghost,6,3,12,Psychic,Psychic,90,55,7.5,5.33,12.27,17.6
1389,Gengar,Gengar,Ghost,Poison,Hex,Ghost,6,3,12,Focus Blast,Fighting,150,75,10.5,5.33,14.57,19.9
1390,Onix,Onix,Rock,Ground,Tackle,Normal,3,1,2,Stone Edge,Rock,100,55,14,4,3.64,7.64
1391,Onix,Onix,Rock,Ground,Tackle,Normal,3,1,2,Rock Slide,Rock,75,45,11.5,4,3.39,7.39
1392,Onix,Onix,Rock,Ground,Tackle,Normal,3,1,2,Iron Head,Steel,70,50,12.5,4,2.4,6.4
1393,Onix,Onix,Rock,Ground,Tackle,Normal,3,1,2,Sand Tomb,Ground,25,40,10,4,1.1,5.1
1394,Onix,Onix,Rock,Ground,Tackle,Normal,3,1,2,Heavy Slam,Steel,70,50,12.5,4,2.4,6.4
1395,Onix,Onix,Rock,Ground,Tackle,Normal,3,1,2,Frustration,Normal,10,70,17.5,4,0.29,4.29
1396,Onix,Onix,Rock,Ground,Tackle,Normal,3,1,2,Return,Normal,130,70,17.5,4,3.14,7.14
1397,Onix,Onix,Rock,Ground,Rock Throw,Rock,8,2,5,Stone Edge,Rock,100,55,11,5,4.64,9.64
1398,Onix,Onix,Rock,Ground,Rock Throw,Rock,8,2,5,Rock Slide,Rock,75,45,9,5,4.33,9.33
1399,Onix,Onix,Rock,Ground,Rock Throw,Rock,8,2,5,Iron Head,Steel,70,50,10,5,3,8
1400,Onix,Onix,Rock,Ground,Rock Throw,Rock,8,2,5,Sand Tomb,Ground,25,40,8,5,1.38,6.38
1401,Onix,Onix,Rock,Ground,Rock Throw,Rock,8,2,5,Heavy Slam,Steel,70,50,10,5,3,8
1402,Onix,Onix,Rock,Ground,Rock Throw,Rock,8,2,5,Frustration,Normal,10,70,14,5,0.36,5.36
1403,Onix,Onix,Rock,Ground,Rock Throw,Rock,8,2,5,Return,Normal,130,70,14,5,3.93,8.93
1404,Drowzee,Drowzee,Psychic,Ground,Pound,Normal,5,2,4,Psybeam,Psychic,70,60,15,3,2.47,5.47
1405,Drowzee,Drowzee,Psychic,Ground,Pound,Normal,5,2,4,Psyshock,Psychic,70,45,12,3,3.08,6.08
1406,Drowzee,Drowzee,Psychic,Ground,Pound,Normal,5,2,4,Psychic,Psychic,90,55,14,3,3.43,6.43
1407,Drowzee,Drowzee,Psychic,Ground,Pound,Normal,5,2,4,Frustration,Normal,10,70,18,3,0.28,3.28
1408,Drowzee,Drowzee,Psychic,Ground,Pound,Normal,5,2,4,Return,Normal,130,70,18,3,3.22,6.22
1409,Drowzee,Drowzee,Psychic,Ground,Confusion,Psychic,16,4,12,Psybeam,Psychic,70,60,10,4.5,3.7,8.2
1410,Drowzee,Drowzee,Psychic,Ground,Confusion,Psychic,16,4,12,Psyshock,Psychic,70,45,8,4.5,4.62,9.12
1411,Drowzee,Drowzee,Psychic,Ground,Confusion,Psychic,16,4,12,Psychic,Psychic,90,55,10,4.5,4.8,9.3
1412,Drowzee,Drowzee,Psychic,Ground,Confusion,Psychic,16,4,12,Frustration,Normal,10,70,12,4.5,0.42,4.92
1413,Drowzee,Drowzee,Psychic,Ground,Confusion,Psychic,16,4,12,Return,Normal,130,70,12,4.5,4.83,9.33
1414,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Ice Punch,Ice,55,40,10.5,4.67,3.52,8.19
1415,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Psyshock,Psychic,70,45,12,4.67,4.75,9.42
1416,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Shadow Ball,Ghost,100,55,15,4.67,4.53,9.2
1417,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Thunder Punch,Electric,55,40,10.5,4.67,3.52,8.19
1418,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Psychic,Psychic,90,55,15,4.67,4.87,9.54
1419,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Fire Punch,Fire,55,40,10.5,4.67,3.52,8.19
1420,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Focus Blast,Fighting,150,75,19.5,4.67,5.18,9.85
1421,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Future Sight,Psychic,120,65,16.5,4.67,5.88,10.55
1422,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Frustration,Normal,10,70,18,4.67,0.39,5.06
1423,Hypno,Hypno,Psychic,Ground,Zen Headbutt,Psychic,8,3,6,Return,Normal,130,70,18,4.67,4.89,9.56
1424,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Ice Punch,Ice,55,40,8,6.5,4.62,11.12
1425,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Psyshock,Psychic,70,45,8,6.5,7.12,13.62
1426,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Shadow Ball,Ghost,100,55,10,6.5,6.8,13.3
1427,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Thunder Punch,Electric,55,40,8,6.5,4.62,11.12
1428,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Psychic,Psychic,90,55,10,6.5,7.3,13.8
1429,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Fire Punch,Fire,55,40,8,6.5,4.62,11.12
1430,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Focus Blast,Fighting,150,75,14,6.5,7.21,13.71
1431,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Future Sight,Psychic,120,65,12,6.5,8.08,14.58
1432,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Frustration,Normal,10,70,12,6.5,0.58,7.08
1433,Hypno,Hypno,Psychic,Ground,Confusion,Psychic,16,4,12,Return,Normal,130,70,12,6.5,7.33,13.83
1434,Krabby,Krabby,Water,Ground,Mud Shot,Ground,3,2,9,Vise Grip,Normal,40,40,5,3,6.8,9.8
1435,Krabby,Krabby,Water,Ground,Mud Shot,Ground,3,2,9,Bubble Beam,Water,25,40,5,3,5,8
1436,Krabby,Krabby,Water,Ground,Mud Shot,Ground,3,2,9,Water Pulse,Water,70,60,7,3,10,13
1437,Krabby,Krabby,Water,Ground,Mud Shot,Ground,3,2,9,Frustration,Normal,10,70,8,3,1.12,4.12
1438,Krabby,Krabby,Water,Ground,Mud Shot,Ground,3,2,9,Return,Normal,130,70,8,3,13.5,16.5
1439,Krabby,Krabby,Water,Ground,Bubble,Water,7,3,11,Vise Grip,Normal,40,40,6,4.67,5.67,10.34
1440,Krabby,Krabby,Water,Ground,Bubble,Water,7,3,11,Bubble Beam,Water,25,40,6,4.67,4.17,8.84
1441,Krabby,Krabby,Water,Ground,Bubble,Water,7,3,11,Water Pulse,Water,70,60,9,4.67,7.78,12.45
1442,Krabby,Krabby,Water,Ground,Bubble,Water,7,3,11,Frustration,Normal,10,70,10.5,4.67,0.86,5.53
1443,Krabby,Krabby,Water,Ground,Bubble,Water,7,3,11,Return,Normal,130,70,10.5,4.67,10.29,14.96
1444,Kingler,Kingler,Water,Ground,Mud Shot,Ground,3,2,9,Vise Grip,Normal,40,40,5,3,7.6,10.6
1445,Kingler,Kingler,Water,Ground,Mud Shot,Ground,3,2,9,X-Scissor,Bug,45,35,4,3,10.75,13.75
1446,Kingler,Kingler,Water,Ground,Mud Shot,Ground,3,2,9,Water Pulse,Water,70,60,7,3,11.43,14.43
1447,Kingler,Kingler,Water,Ground,Mud Shot,Ground,3,2,9,Crabhammer,Water,85,50,6,3,16.17,19.17
1448,Kingler,Kingler,Water,Ground,Mud Shot,Ground,3,2,9,Frustration,Normal,10,70,8,3,1.25,4.25
1449,Kingler,Kingler,Water,Ground,Mud Shot,Ground,3,2,9,Return,Normal,130,70,8,3,15.5,18.5
1450,Kingler,Kingler,Water,Ground,Metal Claw,Steel,5,2,6,Vise Grip,Normal,40,40,7,5,5.43,10.43
1451,Kingler,Kingler,Water,Ground,Metal Claw,Steel,5,2,6,X-Scissor,Bug,45,35,6,5,7.17,12.17
1452,Kingler,Kingler,Water,Ground,Metal Claw,Steel,5,2,6,Water Pulse,Water,70,60,10,5,8,13
1453,Kingler,Kingler,Water,Ground,Metal Claw,Steel,5,2,6,Crabhammer,Water,85,50,9,5,10.78,15.78
1454,Kingler,Kingler,Water,Ground,Metal Claw,Steel,5,2,6,Frustration,Normal,10,70,12,5,0.83,5.83
1455,Kingler,Kingler,Water,Ground,Metal Claw,Steel,5,2,6,Return,Normal,130,70,12,5,10.33,15.33
1456,Kingler,Kingler,Water,Ground,Bubble,Water,7,3,11,Vise Grip,Normal,40,40,6,5.33,6.33,11.66
1457,Kingler,Kingler,Water,Ground,Bubble,Water,7,3,11,X-Scissor,Bug,45,35,6,5.33,7.17,12.5
1458,Kingler,Kingler,Water,Ground,Bubble,Water,7,3,11,Water Pulse,Water,70,60,9,5.33,8.89,14.22
1459,Kingler,Kingler,Water,Ground,Bubble,Water,7,3,11,Crabhammer,Water,85,50,7.5,5.33,12.93,18.26
1460,Kingler,Kingler,Water,Ground,Bubble,Water,7,3,11,Frustration,Normal,10,70,10.5,5.33,0.95,6.28
1461,Kingler,Kingler,Water,Ground,Bubble,Water,7,3,11,Return,Normal,130,70,10.5,5.33,11.81,17.14
1462,Voltorb,Voltorb,Electric,Ground,Spark,Electric,4,2,8,Discharge,Electric,65,45,6,3,6.83,9.83
1463,Voltorb,Voltorb,Electric,Ground,Spark,Electric,4,2,8,Thunderbolt,Electric,90,55,7,3,8.14,11.14
1464,Voltorb,Voltorb,Electric,Ground,Spark,Electric,4,2,8,Signal Beam,Bug,75,55,7,3,5.71,8.71
1465,Voltorb,Voltorb,Electric,Ground,Spark,Electric,4,2,8,Gyro Ball,Steel,80,60,8,3,5.25,8.25
1466,Voltorb,Voltorb,Electric,Ground,Tackle,Normal,3,1,2,Discharge,Electric,65,45,11.5,4,3.57,7.57
1467,Voltorb,Voltorb,Electric,Ground,Tackle,Normal,3,1,2,Thunderbolt,Electric,90,55,14,4,4.07,8.07
1468,Voltorb,Voltorb,Electric,Ground,Tackle,Normal,3,1,2,Signal Beam,Bug,75,55,14,4,2.86,6.86
1469,Voltorb,Voltorb,Electric,Ground,Tackle,Normal,3,1,2,Gyro Ball,Steel,80,60,15,4,2.8,6.8
1470,Electrode,Electrode,Electric,Ground,Spark,Electric,4,2,8,Hyper Beam,Normal,150,80,10,4,12,16
1471,Electrode,Electrode,Electric,Ground,Spark,Electric,4,2,8,Discharge,Electric,65,45,6,4,10.33,14.33
1472,Electrode,Electrode,Electric,Ground,Spark,Electric,4,2,8,Thunderbolt,Electric,90,55,7,4,12.29,16.29
1473,Electrode,Electrode,Electric,Ground,Spark,Electric,4,2,8,Foul Play,Dark,70,45,6,4,9.33,13.33
